0.1	0.852407	0.0117159
0.1	0.660978	0.0103579
0.1	0.727981	0.0112982
0.1	0.636496	0.00998256
0.1	0.646846	0.0111227
0.1	0.623077	0.0120302
0.1	0.598352	0.0111618
0.1	0.575842	0.0109021
0.1	0.46441	0.0101088
0.1	0.262363	0.00945083
0.099	0.254512	0.00826974
0.099	0.24546	0.00760529
0.099	0.411228	0.00787174
0.099	0.271756	0.00781042
0.099	0.278147	0.00817071
0.099	0.194763	0.00814546
0.099	0.0910387	0.00637691
0.099	-0.018683	0.00677689
0.099	-0.0557805	0.00478793
0.099	-0.0742004	0.00567696
0.098	-0.0631849	0.00557516
0.098	-0.0995555	0.0049279
0.098	-0.131927	0.00438084
0.098	-0.138959	0.0046676
0.098	-0.21685	0.00407339
0.098	-0.234935	0.00333497
0.098	-0.235055	0.00380012
0.098	-0.27746	0.00311109
0.098	-0.34104	0.00247122
0.098	-0.393093	0.00139829
0.097	-0.354535	0.00207824
0.097	-0.316016	0.00290043
0.097	-0.303745	0.00286486
0.097	-0.317654	0.00285741
0.097	-0.359135	0.00217149
0.097	-0.413677	0.00153188
0.097	-0.364936	0.00203174
0.097	-0.363736	0.00214139
0.097	-0.385546	0.00193017
0.097	-0.352315	0.00247088
0.096	-0.36689	0.00217466
0.096	-0.353925	0.00200781
0.096	-0.378925	0.00192245
0.096	-0.415434	0.00140078
0.096	-0.383676	0.00201895
0.096	-0.384745	0.00180297
0.096	-0.348566	0.00233547
0.096	-0.342082	0.00245223
0.096	-0.364113	0.00185878
0.096	-0.395399	0.00135972
0.095	-0.404883	0.00108012
0.095	-0.416673	0.00104646
0.095	-0.407666	0.00108187
0.095	-0.442139	0.000818766
0.095	-0.43464	0.000842819
0.095	-0.430405	0.000761876
0.095	-0.411863	0.000784991
0.095	-0.379885	0.00113278
0.095	-0.378956	0.000916718
0.095	-0.358999	0.00116539
0.094	-0.364939	0.000999114
0.094	-0.387069	0.00135251
0.094	-0.41715	0.000758189
0.094	-0.4088	0.000925746
0.094	-0.431057	0.000691736
0.094	-0.405065	0.00101101
0.094	-0.394061	0.000856531
0.094	-0.393302	0.00089129
